leto,ime_drzave
1979,Sweden
1979,Belgium
1979,Austria
1980,Ireland
1980,Germany
1980,United Kingdom
1980,Switzerland
1980,Netherlands
1980,Italy
1980,Portugal
1980,Austria
1980,Luxembourg
1980,Sweden
1980,France
1980,Spain
1980,Greece
1980,Denmark
1980,Turkey
1980,Norway
1980,Belgium
1980,Morocco
1980,Finland
1981,United Kingdom
1981,Germany
1981,France
1981,Switzerland
1981,Ireland
1981,Cyprus
1981,Israel
1981,Greece
1981,Netherlands
1981,Sweden
1981,Luxembourg
1981,Denmark
1981,Belgium
1981,Spain
1981,Yugoslavia
1981,Finland
1981,Austria
1981,Turkey
1981,Portugal
1981,Norway
1982,Germany
1982,Israel
1982,Switzerland
1982,Belgium
1982,Cyprus
1982,Luxembourg
1982,United Kingdom
1982,Sweden
1982,Austria
1982,Spain
1982,Ireland
1982,Norway
1982,Portugal
1982,Yugoslavia
1982,Turkey
1982,Netherlands
1982,Denmark
1982,Finland
1983,Luxembourg
1983,Israel
1983,Sweden
1983,Yugoslavia
1983,Germany
1983,United Kingdom
1983,Netherlands
1983,France
1983,Norway
1983,Austria
1983,Italy
1983,Finland
1983,Portugal
1983,Greece
1983,Switzerland
1983,Cyprus
1983,Denmark
1983,Belgium
1983,Turkey
1983,Spain
1984,Sweden
1984,Ireland
1984,Spain
1984,Denmark
1984,Belgium
1984,Italy
1984,United Kingdom
1984,France
1984,Finland
1984,Luxembourg
1984,Portugal
1984,Turkey
1984,Netherlands
1984,Germany
1984,Cyprus
1984,Switzerland
1984,Norway
1984,Yugoslavia
1984,Austria
1985,Norway
1985,Germany
1985,Sweden
1985,United Kingdom
1985,Israel
1985,Ireland
1985,Italy
1985,Austria
1985,Finland
1985,France
1985,Denmark
1985,Switzerland
1985,Luxembourg
1985,Spain
1985,Turkey
1985,Cyprus
1985,Greece
1985,Portugal
1985,Belgium
1986,Belgium
1986,Switzerland
1986,Luxembourg
1986,Ireland
1986,Sweden
1986,Denmark
1986,United Kingdom
1986,Germany
1986,Turkey
1986,Spain
1986,Yugoslavia
1986,Norway
1986,Netherlands
1986,Portugal
1986,Finland
1986,Iceland
1986,France
1986,Austria
1986,Israel
1986,Cyprus
1987,Ireland
1987,Germany
1987,Italy
1987,Yugoslavia
1987,Netherlands
1987,Denmark
1987,Cyprus
1987,Israel
1987,Norway
1987,Greece
1987,Belgium
1987,Sweden
1987,United Kingdom
1987,France
1987,Finland
1987,Iceland
1987,Switzerland
1987,Portugal
1987,Spain
1987,Austria
1987,Luxembourg
1987,Turkey
1988,Switzerland
1988,United Kingdom
1988,Denmark
1988,Luxembourg
1988,Norway
1988,Yugoslavia
1988,Israel
1988,Ireland
1988,Netherlands
1988,France
1988,Spain
1988,Sweden
1988,Italy
1988,Germany
1988,Turkey
1988,Iceland
1988,Greece
1988,Belgium
1988,Portugal
1988,Finland
1988,Austria
1989,Yugoslavia
1989,United Kingdom
1989,Denmark
1989,Sweden
1989,Austria
1989,Spain
1989,Finland
1989,France
1989,Italy
1989,Greece
1989,Cyprus
1989,Israel
1989,Switzerland
1989,Germany
1989,Netherlands
1989,Portugal
1989,Norway
1989,Ireland
1989,Belgium
1989,Luxembourg
1989,Turkey
1989,Iceland
1990,Italy
1990,France
1990,Ireland
1990,Iceland
1990,Spain
1990,United Kingdom
1990,Yugoslavia
1990,Denmark
1990,Germany
1990,Austria
1990,Switzerland
1990,Belgium
1990,Luxembourg
1990,Cyprus
1990,Netherlands
1990,Sweden
1990,Turkey
1990,Israel
1990,Greece
1990,Portugal
1990,Norway
1990,Finland
1991,Sweden
1991,France
1991,Israel
1991,Spain
1991,Switzerland
1991,Malta
1991,Italy
1991,Portugal
1991,Cyprus
1991,Ireland
1991,United Kingdom
1991,Turkey
1991,Greece
1991,Luxembourg
1991,Iceland
1991,Belgium
1991,Norway
1991,Germany
1991,Denmark
1991,Finland
1991,Yugoslavia
1991,Austria
1992,Ireland
1992,United Kingdom
1992,Malta
1992,Italy
1992,Greece
1992,Israel
1992,Iceland
1992,France
1992,Netherlands
1992,Austria
1992,Cyprus
1992,Denmark
1992,Yugoslavia
1992,Spain
1992,Switzerland
1992,Germany
1992,Portugal
1992,Norway
1992,Turkey
1992,Belgium
1992,Luxembourg
1992,Sweden
1992,Finland
1993,Ireland
1993,United Kingdom
1993,Switzerland
1993,France
1993,Norway
1993,Netherlands
1993,Sweden
1993,Malta
1993,Greece
1993,Portugal
1993,Spain
1993,Italy
1993,Iceland
1993,Austria
1993,Croatia
1993,Bosnia & Herzegovina
1993,Finland
1993,Germany
1993,Cyprus
1993,Luxembourg
1993,Turkey
1993,Denmark
1993,Slovenia
1993,Israel
1993,Belgium
1994,Ireland
1994,Poland
1994,Germany
1994,Hungary
1994,Malta
1994,Norway
1994,France
1994,Portugal
1994,Russia
1994,United Kingdom
1994,Cyprus
1994,Iceland
1994,Sweden
1994,Greece
1994,Bosnia & Herzegovina
1994,Croatia
1994,Austria
1994,Spain
1994,Switzerland
1994,Slovakia
1994,Romania
1994,Finland
1994,Netherlands
1994,Estonia
1994,Lithuania
1995,Norway
1995,Spain
1995,Sweden
1995,France
1995,Denmark
1995,Croatia
1995,Slovenia
1995,Israel
1995,Cyprus
1995,United Kingdom
1995,Malta
1995,Greece
1995,Austria
1995,Ireland
1995,Iceland
1995,Turkey
1995,Russia
1995,Poland
1995,Bosnia & Herzegovina
1995,Belgium
1995,Portugal
1995,Hungary
1995,Germany
1996,Ireland
1996,Norway
1996,Sweden
1996,Croatia
1996,Estonia
1996,Portugal
1996,Netherlands
1996,United Kingdom
1996,Cyprus
1996,Malta
1996,Austria
1996,Turkey
1996,Iceland
1996,Greece
1996,Poland
1996,Switzerland
1996,Belgium
1996,Slovakia
1996,France
1996,Spain
1996,Slovenia
1996,Bosnia & Herzegovina
1996,Finland
1997,United Kingdom
1997,Ireland
1997,Turkey
1997,Italy
1997,Cyprus
1997,Spain
1997,France
1997,Estonia
1997,Malta
1997,Slovenia
1997,Poland
1997,Greece
1997,Hungary
1997,Sweden
1997,Russia
1997,Denmark
1997,Croatia
1997,Germany
1997,Bosnia & Herzegovina
1997,Iceland
1997,Austria
1997,Switzerland
1997,Netherlands
1997,Norway
1997,Portugal
1998,Israel
1998,United Kingdom
1998,Malta
1998,Netherlands
1998,Croatia
1998,Belgium
1998,Germany
1998,Norway
1998,Ireland
1998,Sweden
1998,Cyprus
1998,Portugal
1998,Estonia
1998,Turkey
1998,Finland
1998,Spain
1998,Poland
1998,Slovenia
1998,North Macedonia
1998,Greece
1998,Slovakia
1998,Romania
1998,Hungary
1998,France
1998,Switzerland
1999,Sweden
1999,Iceland
1999,Germany
1999,Croatia
1999,Israel
1999,Estonia
1999,Bosnia & Herzegovina
1999,Denmark
1999,Netherlands
1999,Austria
1999,Slovenia
1999,Belgium
1999,United Kingdom
1999,Norway
1999,Malta
1999,Turkey
1999,Ireland
1999,Poland
1999,France
1999,Lithuania
1999,Portugal
1999,Cyprus
1999,Spain
2000,Denmark
2000,Russia
2000,Latvia
2000,Estonia
2000,Germany
2000,Ireland
2000,Sweden
2000,Malta
2000,Croatia
2000,Turkey
2000,Norway
2000,Iceland
2000,Netherlands
2000,Austria
2000,North Macedonia
2000,United Kingdom
2000,Romania
2000,Spain
2000,Finland
2000,Switzerland
2000,Cyprus
2000,Israel
2000,France
2000,Belgium
2001,Estonia
2001,Denmark
2001,Greece
2001,France
2001,Sweden
2001,Spain
2001,Slovenia
2001,Germany
2001,Malta
2001,Croatia
2001,Turkey
2001,Russia
2001,Lithuania
2001,Bosnia & Herzegovina
2001,United Kingdom
2001,Israel
2001,Portugal
2001,Netherlands
2001,Latvia
2001,Poland
2001,Ireland
2001,Iceland
2001,Norway
2002,Latvia
2002,Malta
2002,United Kingdom
2002,Estonia
2002,France
2002,Cyprus
2002,Spain
2002,Sweden
2002,Romania
2002,Russia
2002,Croatia
2002,Israel
2002,Bosnia & Herzegovina
2002,Belgium
2002,Slovenia
2002,Turkey
2002,Greece
2002,Austria
2002,North Macedonia
2002,Finland
2002,Germany
2002,Switzerland
2002,Lithuania
2002,Denmark
2003,Turkey
2003,Belgium
2003,Russia
2003,Norway
2003,Sweden
2003,Austria
2003,Poland
2003,Iceland
2003,Spain
2003,Romania
2003,Ireland
2003,Germany
2003,Netherlands
2003,Ukraine
2003,Croatia
2003,Bosnia & Herzegovina
2003,Greece
2003,France
2003,Israel
2003,Cyprus
2003,Estonia
2003,Portugal
2003,Slovenia
2003,Latvia
2003,Malta
2003,United Kingdom
2004,Ukraine
2004,Serbia & Montenegro
2004,Greece
2004,Turkey
2004,Cyprus
2004,Sweden
2004,Albania
2004,Germany
2004,Bosnia & Herzegovina
2004,Spain
2004,Russia
2004,Malta
2004,Croatia
2004,North Macedonia
2004,France
2004,United Kingdom
2004,Poland
2004,Romania
2004,Iceland
2004,Netherlands
2004,Austria
2004,Belgium
2004,Ireland
2004,Norway
2004,Estonia
2004,Israel
2004,Denmark
2004,Finland
2004,Portugal
2004,Lithuania
2004,Latvia
2004,Andorra
2004,Belarus
2004,Monaco
2004,Slovenia
2004,Switzerland
2005,Greece
2005,Malta
2005,Romania
2005,Israel
2005,Latvia
2005,Moldova
2005,Serbia & Montenegro
2005,Switzerland
2005,Norway
2005,Denmark
2005,Croatia
2005,Hungary
2005,Turkey
2005,Bosnia & Herzegovina
2005,Russia
2005,Albania
2005,North Macedonia
2005,Cyprus
2005,Sweden
2005,Ukraine
2005,Spain
2005,United Kingdom
2005,France
2005,Germany
2005,Poland
2005,Slovenia
2005,Belarus
2005,Netherlands
2005,Ireland
2005,Iceland
2005,Portugal
2005,Finland
2005,Bulgaria
2005,Estonia
2005,Austria
2005,Belgium
2005,Andorra
2005,Monaco
2005,Lithuania
2006,Finland
2006,Russia
2006,Bosnia & Herzegovina
2006,Romania
2006,Sweden
2006,Lithuania
2006,Ukraine
2006,Armenia
2006,Greece
2006,Ireland
2006,Turkey
2006,North Macedonia
2006,Croatia
2006,Norway
2006,Germany
2006,Switzerland
2006,Latvia
2006,Denmark
2006,United Kingdom
2006,Moldova
2006,Spain
2006,France
2006,Israel
2006,Malta
2006,Poland
2006,Belgium
2006,Iceland
2006,Albania
2006,Cyprus
2006,Slovenia
2006,Bulgaria
2006,Estonia
2006,Portugal
2006,Netherlands
2006,Monaco
2006,Belarus
2006,Andorra
2007,Serbia
2007,Ukraine
2007,Russia
2007,Turkey
2007,Bulgaria
2007,Belarus
2007,Greece
2007,Armenia
2007,Hungary
2007,Moldova
2007,Bosnia & Herzegovina
2007,Georgia
2007,Romania
2007,North Macedonia
2007,Slovenia
2007,Latvia
2007,Finland
2007,Sweden
2007,Germany
2007,Spain
2007,Lithuania
2007,France
2007,United Kingdom
2007,Ireland
2007,Portugal
2007,Andorra
2007,Iceland
2007,Poland
2007,Cyprus
2007,Croatia
2007,Albania
2007,Norway
2007,Denmark
2007,Switzerland
2007,Netherlands
2007,Montenegro
2007,Estonia
2007,Israel
2007,Malta
2007,Belgium
2007,Austria
2007,Czech Republic
2008,Russia
2008,Ukraine
2008,Greece
2008,Armenia
2008,Norway
2008,Serbia
2008,Turkey
2008,Azerbaijan
2008,Israel
2008,Bosnia & Herzegovina
2008,Georgia
2008,Latvia
2008,Portugal
2008,Iceland
2008,Denmark
2008,Spain
2008,Albania
2008,Sweden
2008,France
2008,Romania
2008,Croatia
2008,Finland
2008,Germany
2008,Poland
2008,United Kingdom
2008,North Macedonia
2008,Bulgaria
2008,Switzerland
2008,Malta
2008,Slovenia
2008,Moldova
2008,Cyprus
2008,Lithuania
2008,Netherlands
2008,Belarus
2008,Montenegro
2008,Ireland
2008,Andorra
2008,Belgium
2008,Czech Republic
2008,Estonia
2008,Hungary
2008,San Marino
2009,Norway
2009,Iceland
2009,Azerbaijan
2009,Turkey
2009,United Kingdom
2009,Estonia
2009,Greece
2009,France
2009,Bosnia & Herzegovina
2009,Armenia
2009,Russia
2009,Ukraine
2009,Denmark
2009,Moldova
2009,Portugal
2009,Israel
2009,Albania
2009,Croatia
2009,Romania
2009,Germany
2009,Sweden
2009,Malta
2009,Lithuania
2009,Spain
2009,Finland
2009,Serbia
2009,Ireland
2009,North Macedonia
2009,Montenegro
2009,Poland
2009,Cyprus
2009,Belarus
2009,Switzerland
2009,Hungary
2009,Slovenia
2009,Netherlands
2009,Andorra
2009,Slovakia
2009,Bulgaria
2009,Latvia
2009,Belgium
2009,Czech Republic
2010,Germany
2010,Turkey
2010,Romania
2010,Denmark
2010,Azerbaijan
2010,Belgium
2010,Armenia
2010,Greece
2010,Georgia
2010,Ukraine
2010,Russia
2010,France
2010,Serbia
2010,Israel
2010,Spain
2010,Albania
2010,Bosnia & Herzegovina
2010,Portugal
2010,Iceland
2010,Norway
2010,Cyprus
2010,Moldova
2010,Ireland
2010,Belarus
2010,United Kingdom
2010,Sweden
2010,Finland
2010,Lithuania
2010,Malta
2010,Poland
2010,Estonia
2010,North Macedonia
2010,Croatia
2010,Netherlands
2010,Slovakia
2010,Bulgaria
2010,Latvia
2010,Slovenia
2010,Switzerland
2011,Azerbaijan
2011,Italy
2011,Sweden
2011,Ukraine
2011,Denmark
2011,Bosnia & Herzegovina
2011,Greece
2011,Ireland
2011,Georgia
2011,Germany
2011,United Kingdom
2011,Moldova
2011,Slovenia
2011,Serbia
2011,France
2011,Russia
2011,Romania
2011,Austria
2011,Lithuania
2011,Iceland
2011,Finland
2011,Hungary
2011,Spain
2011,Estonia
2011,Switzerland
2011,Malta
2011,Armenia
2011,Belgium
2011,Turkey
2011,Albania
2011,Bulgaria
2011,Slovakia
2011,Belarus
2011,Croatia
2011,Israel
2011,North Macedonia
2011,San Marino
2011,Norway
2011,Latvia
2011,Portugal
2011,Poland
2011,Cyprus
2011,Netherlands
2012,Sweden
2012,Russia
2012,Serbia
2012,Azerbaijan
2012,Albania
2012,Estonia
2012,Turkey
2012,Germany
2012,Italy
2012,Spain
2012,Moldova
2012,Romania
2012,North Macedonia
2012,Lithuania
2012,Ukraine
2012,Cyprus
2012,Greece
2012,Bosnia & Herzegovina
2012,Ireland
2012,Iceland
2012,Malta
2012,France
2012,Denmark
2012,Hungary
2012,United Kingdom
2012,Norway
2012,Bulgaria
2012,Switzerland
2012,Croatia
2012,Finland
2012,Portugal
2012,Georgia
2012,Netherlands
2012,Belarus
2012,Israel
2012,San Marino
2012,Slovenia
2012,Slovakia
2012,Montenegro
2012,Latvia
2012,Belgium
2012,Austria
2013,Denmark
2013,Azerbaijan
2013,Ukraine
2013,Norway
2013,Russia
2013,Greece
2013,Italy
2013,Malta
2013,Netherlands
2013,Hungary
2013,Moldova
2013,Belgium
2013,Romania
2013,Sweden
2013,Georgia
2013,Belarus
2013,Iceland
2013,Armenia
2013,United Kingdom
2013,Estonia
2013,Germany
2013,Lithuania
2013,France
2013,Finland
2013,Spain
2013,Ireland
2013,Serbia
2013,San Marino
2013,Bulgaria
2013,Montenegro
2013,Switzerland
2013,Croatia
2013,Israel
2013,Albania
2013,Austria
2013,North Macedonia
2013,Latvia
2013,Cyprus
2013,Slovenia
2014,Austria
2014,Netherlands
2014,Sweden
2014,Armenia
2014,Hungary
2014,Ukraine
2014,Russia
2014,Norway
2014,Denmark
2014,Spain
2014,Finland
2014,Romania
2014,Switzerland
2014,Poland
2014,Iceland
2014,Belarus
2014,United Kingdom
2014,Germany
2014,Montenegro
2014,Greece
2014,Italy
2014,Azerbaijan
2014,Malta
2014,San Marino
2014,Slovenia
2014,France
2014,Portugal
2014,Lithuania
2014,Ireland
2014,Estonia
2014,North Macedonia
2014,Latvia
2014,Belgium
2014,Albania
2014,Israel
2014,Georgia
2014,Moldova
2015,Sweden
2015,Russia
2015,Italy
2015,Belgium
2015,Australia
2015,Latvia
2015,Estonia
2015,Norway
2015,Israel
2015,Serbia
2015,Georgia
2015,Azerbaijan
2015,Montenegro
2015,Slovenia
2015,Romania
2015,Armenia
2015,Albania
2015,Lithuania
2015,Greece
2015,Hungary
2015,Spain
2015,Cyprus
2015,Poland
2015,United Kingdom
2015,France
2015,Austria
2015,Germany
2015,Moldova
2015,Malta
2015,Belarus
2015,Ireland
2015,Denmark
2015,Netherlands
2015,Czech Republic
2015,North Macedonia
2015,Portugal
2015,Iceland
2015,Finland
2015,San Marino
2015,Switzerland
2016,Ukraine
2016,Australia
2016,Russia
2016,Bulgaria
2016,Sweden
2016,France
2016,Armenia
2016,Poland
2016,Lithuania
2016,Belgium
2016,Netherlands
2016,Malta
2016,Austria
2016,Israel
2016,Latvia
2016,Italy
2016,Azerbaijan
2016,Serbia
2016,Hungary
2016,Georgia
2016,Cyprus
2016,Spain
2016,Croatia
2016,United Kingdom
2016,Czech Republic
2016,Germany
2016,Bosnia & Herzegovina
2016,North Macedonia
2016,Belarus
2016,San Marino
2016,Norway
2016,Montenegro
2016,Slovenia
2016,Iceland
2016,Finland
2016,Ireland
2016,Albania
2016,Greece
2016,Denmark
2016,Moldova
2016,Switzerland
2016,Estonia
2017,Portugal
2017,Bulgaria
2017,Moldova
2017,Belgium
2017,Sweden
2017,Italy
2017,Romania
2017,Hungary
2017,Australia
2017,Norway
2017,Netherlands
2017,France
2017,Croatia
2017,Azerbaijan
2017,United Kingdom
2017,Austria
2017,Belarus
2017,Armenia
2017,Greece
2017,Denmark
2017,Cyprus
2017,Poland
2017,Israel
2017,Ukraine
2017,Germany
2017,Spain
2017,Georgia
2017,Serbia
2017,Switzerland
2017,Finland
2017,Ireland
2017,Estonia
2017,Czech Republic
2017,Albania
2017,North Macedonia
2017,Iceland
2017,Montenegro
2017,Malta
2017,Lithuania
2017,Slovenia
2017,Latvia
2017,San Marino
2018,Israel
2018,Cyprus
2018,Austria
2018,Germany
2018,Italy
2018,Czech Republic
2018,Sweden
2018,Estonia
2018,Denmark
2018,Moldova
2018,Albania
2018,Lithuania
2018,France
2018,Bulgaria
2018,Norway
2018,Ireland
2018,Ukraine
2018,Netherlands
2018,Serbia
2018,Australia
2018,Hungary
2018,Slovenia
2018,Spain
2018,United Kingdom
2018,Finland
2018,Portugal
2018,Romania
2018,Latvia
2018,Malta
2018,Azerbaijan
2018,Belgium
2018,Switzerland
2018,Poland
2018,Greece
2018,Armenia
2018,Russia
2018,Belarus
2018,Croatia
2018,Montenegro
2018,San Marino
2018,Georgia
2018,North Macedonia
2018,Iceland
2019,Netherlands
2019,Italy
2019,Russia
2019,Switzerland
2019,Sweden
2019,Norway
2019,North Macedonia
2019,Azerbaijan
2019,Australia
2019,Iceland
2019,Czech Republic
2019,Denmark
2019,Cyprus
2019,Malta
2019,Slovenia
2019,France
2019,Albania
2019,Serbia
2019,San Marino
2019,Estonia
2019,Greece
2019,Spain
2019,Israel
2019,Belarus
2019,Germany
2019,United Kingdom
2019,Poland
2019,Hungary
2019,Lithuania
2019,Moldova
2019,Belgium
2019,Romania
2019,Georgia
2019,Croatia
2019,Portugal
2019,Latvia
2019,Armenia
2019,Montenegro
2019,Finland
2019,Austria
2019,Ireland
2020,France
2020,Germany
2020,Italy
2020,Netherlands
2020,Spain
2020,United Kingdom
2020,Australia
2020,Belarus
2020,Ireland
2020,Lithuania
2020,North Macedonia
2020,Russia
2020,Slovenia
2020,Sweden
2020,Azerbaijan
2020,Belgium
2020,Croatia
2020,Cyprus
2020,Israel
2020,Malta
2020,Norway
2020,Romania
2020,Ukraine
2020,Austria
2020,Czech Republic
2020,Estonia
2020,Greece
2020,Iceland
2020,Moldova
2020,Poland
2020,San Marino
2020,Serbia
2020,Albania
2020,Armenia
2020,Bulgaria
2020,Denmark
2020,Finland
2020,Georgia
2020,Latvia
2020,Portugal
2020,Switzerland
